i,v1,v2,v3,v4,v5,v6,ii,iii,avr,avl,avf
3.3108637,3.7941866,2.9530468,3.029088,2.8335538,2.3768811,3.7975328,525.0,521.6891362667084,-264.1554318666458,-259.1891362667084,523.3445681333542
3.3108644,3.9240205,3.1370354,3.025599,2.8479412,2.3478413,3.622076,526.0,522.6891355514526,-264.6554322242737,-259.68913555145264,524.3445677757263
3.3108644,3.9240186,3.136055,2.855596,2.8467343,2.4006815,3.5184665,527.0,523.6891355514526,-265.1554322242737,-260.18913555145264,525.3445677757263
3.3108642,3.9240158,3.137026,2.866123,2.836893,2.3470976,3.514009,528.0,524.6891357898712,-265.6554321050644,-260.6891357898712,526.3445678949356
3.2991993,3.886557,3.1369295,2.9459276,2.8462274,2.3863258,3.5316098,529.0,525.7008006572723,-266.14959967136383,-261.20080065727234,527.3504003286362
3.306077,3.9240186,3.1370406,3.0030837,2.8332992,2.347006,3.4639537,530.0,526.693922996521,-266.6530385017395,-261.693922996521,528.3469614982605
3.3110106,3.9240212,3.13704,2.9940994,2.8332813,2.347023,3.44568,531.0,527.6889894008636,-267.1555052995682,-262.18898940086365,529.3444947004318
3.3516867,4.0120482,3.1370406,2.9147468,2.8332777,2.351382,3.5939777,531.0,527.6483132839203,-267.17584335803986,-262.1483132839203,529.3241566419601
3.4271493,4.0133452,3.1368363,2.9973485,2.833278,2.3602982,3.4452884,534.0,530.5728507041931,-268.71357464790344,-263.5728507041931,532.2864253520966
3.426979,4.012055,3.1370423,2.9983761,2.8332832,2.3602982,3.768438,537.0,533.5730209350586,-270.2134895324707,-265.0730209350586,535.2865104675293
3.3625135,4.0120506,3.137044,2.9443724,2.8332777,2.360324,3.6242971,538.0,534.6374864578247,-270.68125677108765,-265.6374864578247,536.3187432289124
3.425284,4.016724,3.137078,2.9778488,2.833302,2.4134817,3.798434,539.0,535.574716091156,-271.212641954422,-266.074716091156,537.287358045578
3.4227474,4.025087,3.1370368,3.0042152,2.83458,2.412038,3.7984226,542.0,538.5772526264191,-272.71137368679047,-267.57725262641907,540.2886263132095
3.3378544,4.031702,3.137117,2.986093,2.8332777,2.403329,3.7984726,544.0,540.662145614624,-273.668927192688,-268.662145614624,542.331072807312
3.3154633,4.0316844,3.1386797,2.985642,2.8332777,2.4134603,3.7984586,547.0,543.6845366954803,-275.1577316522598,-270.18453669548035,545.3422683477402
3.3851988,4.031631,3.1372147,3.0155337,2.8332777,2.4019651,3.7984726,548.0,544.6148011684418,-275.6925994157791,-270.6148011684418,546.3074005842209
3.370732,4.028502,3.1374032,3.0097046,2.8332777,2.4006817,3.798473,548.0,544.6292679309845,-275.68536603450775,-270.6292679309845,546.3146339654922
3.3235333,4.029826,3.1372304,3.0044413,2.833279,2.4006815,3.7984726,546.0,542.6764667034149,-274.66176664829254,-269.6764667034149,544.3382333517075
3.3213418,4.028271,3.1370673,3.003553,2.8332777,2.4006815,3.7984726,545.0,541.678658246994,-274.160670876503,-269.178658246994,543.339329123497
3.3387072,4.0295854,3.1370497,3.0042315,2.8332844,2.4006824,3.7984724,541.0,537.6612927913666,-272.1693536043167,-267.1612927913666,539.3306463956833
3.344904,4.025697,3.1370735,3.001179,2.8334544,2.4006815,3.7984717,538.0,534.6550960540771,-270.6724519729614,-265.65509605407715,536.3275480270386
3.3392942,4.010781,3.1370914,2.9852636,2.8332777,2.400683,3.7984583,534.0,530.6607058048248,-268.6696470975876,-263.66070580482483,532.3303529024124
3.317213,4.0056567,3.1370564,2.9939227,2.8332777,2.4006815,3.798465,529.0,525.6827869415283,-266.15860652923584,-261.1827869415283,527.3413934707642
3.3344426,4.008765,3.1370504,2.980344,2.8332777,2.4006815,3.7984426,525.0,521.665557384491,-264.1672213077545,-259.16555738449097,523.3327786922455
3.3146563,4.011552,3.13705,2.9238696,2.8332777,2.4006817,3.798456,521.0,517.6853437423706,-262.1573281288147,-257.1853437423706,519.3426718711853
